 d0 (cm),freq (GHz),"Electric field norm (V/m), Point: 2","Electric field norm (V/m), Point: 3","Electric field norm (V/m), Point: 6","Electric field norm (V/m), Point: 7"
0.1,1,0.5830106946318221,0.41038510318881083,0.583010690266434,0.4103851102202812
0.1,1.1,0.5896513205579182,0.3433218668133634,0.58965131522492,0.34332187659566693
0.1,1.2000000000000002,0.5975843173052832,0.30965023638225647,0.5975843110652114,0.30965025034492916
0.1,1.3,0.6025393408243174,0.3073415258591883,0.602539333546224,0.30734154546845416
0.1,1.4000000000000001,0.5871746807842665,0.36316016885708297,0.5871746729851656,0.36316019323926824
0.1,1.5,0.5259002290178593,0.48686468015332096,0.5259002233087243,0.486864706691305
0.1,1.6,0.4819820714505245,0.5166103173022623,0.4819820708585196,0.5166103450945257
0.1,1.7000000000000004,0.4598728629350061,0.4565774285578252,0.4598728657761198,0.45657745411069
0.1,1.8,0.4061303958519053,0.5362936401373863,0.40613040138884166,0.5362936599730165
0.1,1.9000000000000001,0.447020339442805,0.7347262670094288,0.44702034030521265,0.7347262887310824
0.1,2,0.5091891054500356,0.7159844438762568,0.5091891063674489,0.7159844699237338
0.1,2.1,0.519168075877673,0.5526807733912265,0.5191680785187774,0.5526807994702515
0.1,2.2,0.5225000099644547,0.5024162119791689,0.5225000129121563,0.5024162389377003
0.1,2.3000000000000003,0.5491001101346522,0.5761255390380966,0.5491001131601506,0.5761255705349674
0.1,2.400000000000001,0.6077619231480921,0.5149781668192693,0.6077619283258875,0.5149781992328589
0.1,2.5,0.6182944687231995,0.35072946538243066,0.6182944731221399,0.3507294933049697
0.1,2.6,0.6128325181013713,0.26072509319231346,0.6128325195063701,0.2607251161956002
0.1,2.7,0.600155953748411,0.22600081004614805,0.6001559518081095,0.22600082748461753
0.1,2.8000000000000003,0.5923098136448465,0.2204634174955384,0.5923098072268624,0.22046342911565456
0.1,2.900000000000001,0.5771826977858692,0.2569352031864049,0.5771826885626087,0.2569352140355645
0.1,3,0.5151203201347373,0.36711383685103305,0.5151203104045411,0.3671138496968379
0.1,3.1,0.402799121344735,0.46539302602561033,0.4027991148096515,0.46539304003703863
0.1,3.2,0.43233701335978475,0.3204049615573244,0.4323370120598906,0.32040496863900003
0.1,3.3000000000000007,0.4568660963390834,0.3720196679527582,0.4568660956018061,0.37201967817964404
